DATE       TIME         DOY     DST                                  
2018-02-24 16:00:00.000 055        -3.00
2018-02-24 17:00:00.000 055        -3.00
2018-02-24 18:00:00.000 055        -5.00
2018-02-24 19:00:00.000 055        -7.00
2018-02-24 20:00:00.000 055        -4.00
2018-02-24 21:00:00.000 055        -2.00
2018-02-24 22:00:00.000 055         1.00
2018-02-24 23:00:00.000 055         1.00
2018-02-25 00:00:00.000 056         0.00
2018-02-25 01:00:00.000 056         0.00
2018-02-25 02:00:00.000 056         1.00
2018-02-25 03:00:00.000 056         1.00
2018-02-25 04:00:00.000 056         0.00
2018-02-25 05:00:00.000 056        -1.00
2018-02-25 06:00:00.000 056         2.00
2018-02-25 07:00:00.000 056         5.00
2018-02-25 08:00:00.000 056         2.00
2018-02-25 09:00:00.000 056         0.00
2018-02-25 10:00:00.000 056         1.00
2018-02-25 11:00:00.000 056         4.00
2018-02-25 12:00:00.000 056         5.00
2018-02-25 13:00:00.000 056         5.00
2018-02-25 14:00:00.000 056         4.00
2018-02-25 15:00:00.000 056         7.00
2018-02-25 16:00:00.000 056         3.00
2018-02-25 17:00:00.000 056         0.00
2018-02-25 18:00:00.000 056        -2.00
2018-02-25 19:00:00.000 056        -4.00
2018-02-25 20:00:00.000 056        -2.00
2018-02-25 21:00:00.000 056         2.00
2018-02-25 22:00:00.000 056         8.00
2018-02-25 23:00:00.000 056         9.00
2018-02-26 00:00:00.000 057         7.00
2018-02-26 01:00:00.000 057         4.00
2018-02-26 02:00:00.000 057         7.00
2018-02-26 03:00:00.000 057         6.00
2018-02-26 04:00:00.000 057         4.00
2018-02-26 05:00:00.000 057         1.00
2018-02-26 06:00:00.000 057        -4.00
2018-02-26 07:00:00.000 057        -4.00
2018-02-26 08:00:00.000 057        -2.00
2018-02-26 09:00:00.000 057        -5.00
2018-02-26 10:00:00.000 057        -5.00
2018-02-26 11:00:00.000 057        -1.00
2018-02-26 12:00:00.000 057         0.00
2018-02-26 13:00:00.000 057        -2.00
2018-02-26 14:00:00.000 057        -5.00
2018-02-26 15:00:00.000 057         0.00
2018-02-26 16:00:00.000 057         2.00
2018-02-26 17:00:00.000 057         3.00
2018-02-26 18:00:00.000 057         3.00
2018-02-26 19:00:00.000 057         6.00
2018-02-26 20:00:00.000 057         5.00
2018-02-26 21:00:00.000 057         6.00
2018-02-26 22:00:00.000 057        11.00
2018-02-26 23:00:00.000 057         8.00
2018-02-27 00:00:00.000 058         8.00
2018-02-27 01:00:00.000 058         2.00
2018-02-27 02:00:00.000 058        -1.00
2018-02-27 03:00:00.000 058        -6.00
2018-02-27 04:00:00.000 058       -19.00
2018-02-27 05:00:00.000 058       -16.00
2018-02-27 06:00:00.000 058       -10.00
2018-02-27 07:00:00.000 058       -10.00
2018-02-27 08:00:00.000 058       -13.00
2018-02-27 09:00:00.000 058       -11.00
2018-02-27 10:00:00.000 058        -5.00
2018-02-27 11:00:00.000 058        -5.00
2018-02-27 12:00:00.000 058       -15.00
2018-02-27 13:00:00.000 058       -17.00
2018-02-27 14:00:00.000 058       -17.00
2018-02-27 15:00:00.000 058       -17.00
2018-02-27 16:00:00.000 058       -16.00
2018-02-27 17:00:00.000 058       -16.00
2018-02-27 18:00:00.000 058       -16.00
2018-02-27 19:00:00.000 058       -15.00
2018-02-27 20:00:00.000 058       -12.00
2018-02-27 21:00:00.000 058        -6.00
2018-02-27 22:00:00.000 058        -1.00
2018-02-27 23:00:00.000 058         2.00
2018-02-28 00:00:00.000 059         1.00
